omw-x-aat, omw
coo-x-kla, coo
coo-x-sli, coo
swc, swc
trc, trc
cop, cop
kw, cor
co, cos
mta, mta
toc, toc
cr, cre
cr-Latn, cre
crh, crh
crh-Cyrl, crh
hr, hrv
hr-Glag, hrv
cua, cua
cub, cub
acc, acc
cui, cui
quz, quz
cs, ces
bpa, bpa
dsh, dsh
mps, mps
dgz, dgz
dga, dga
dag, dag
dak, dak
sio-x-dakota, sio
ngk, ngk
dlm, dlm
daf, daf
dnj, dnj
daa, daa
ada, ada
da, dan
aso, aso
dar, dar
prs, prs
dln, dln
tcc, tcc
dww, dww
dwr, dwr
kzf, kzf
ded, ded
mzw, mzw
del, del
ntr, ntr
ddn, ddn
chp, chp
anv, anv
des, des
nfa, nfa
luo, luo
duj, duj
mbd, mbd
dif, dif
os-x-dig, oss
dur, dur
diq, diq
din, din
diu, diu
tbz, tbz
xtd, xtd
djr, djr
dhg, dhg
djj, djj
djl, djl
dze, dze
dob, dob
dgo, dgo
doi, doi
dgr, dgr
dlg, dlg
kqc, kqc
dhv, dhv
drt, drt
dua, dua
dng, dng
mvp, mvp
dun, dun
nl, nld
nl-BE, nld
nl-NL, nld
nds-NL, nds
dws, dws
dz, dzo
fud, fud
kjs, kjs
li-x-east, lim
qve, qve
hy-x-ear, hye
aer, aer
bgp-Latn, bgp
gui, gui
ebk, ebk
bru, bru
ike, ike
cjm, cjm
dnj-x-east, dnj
otm, otm
nhe, nhe
jac-x-eastern, jac
cke, cke
xrb, xrb
emk-Nkoo, emk
emk, emk
djk, djk
hae, hae
pa-Arab, pan
pez, pez
poh-x-eastern, poh
taj, taj
tzj-x-eastern, tzj
ydd, ydd
bin, bin
etr, etr
efi, efi
arz, arz
etu, etu
guz, guz
crn, crn
swn-x-foqaha, swn
dlc, dlc
ekm, ekm
cto, cto
eml, eml
enq, enq
en, eng
en-AU, eng
en-BW, eng
en-CA, eng
en-GB, eng
en-HK, eng
en-IN, eng
en-IE, eng
en-JM, eng
en-KE, eng
en-NZ, eng
en-NG, eng
en-PH, eng
en-Shaw, eng
en-SG, eng
en-ZA, eng
en-TT, eng
en-US, eng
sja, sja
myv, myv
mcq, mcq
ese, ese
eo, epo
ots, ots
et, est
eve, eve
evn, evn
nou, nou
ee, ewe
ewo, ewo
ext, ext
fai, fai
fax, fax
flm, flm
cfm, cfm
bjp, bjp
fat, fat
gur, gur
fo, fao
faa, faa
ddg, ddg
hif, hif
fj, fij
aoj-x-filifita, aoj
fil, fil
bkb, bkb
fi, fin
ppo, ppo
fon, fon
for, for
enf, enf
zos, zos
fr, fra
fr-CA, fra
fr-FR, fra
fy, fry
fur, fur
ff, ful
gaa, gaa
gag, gag
gag-Cyrl, gag
gbi, gbi
gl, glg
gmv, gmv
gmo, gmo
gan, gan
pwg, pwg
gbm, gbm
grt, grt
cab, cab
gsc, gsc
gay, gay
gba, gba
gmm, gmm
gej, gej
ka, kat
ka-Latn, kat
de, deu
de-AT, deu
de-DE, deu
de-CH, deu
gri, gri
bmk, bmk
aln, aln
bbj, bbj
ki, kik
acd, acd
glk, glk
niv, niv
bbr, bbr
git, git
gom-Deva, gom
gom, gom
gof, gof
gog, gog
gkn, gkn
gvf, gvf
gjn, gjn
gor, gor
got, got
gux, gux
grb, grb
el, ell
el-Latn-x-chat, ell
el-Latn, ell
rmn-Grek, rmn
rmn-Grek-x-north, rmn
rmn-Grek-x-south, rmn
gos, gos
gcf, gcf
guh, guh
gub, gub
gum, gum
gvc, gvc
gn, grn
gyr, gyr
guo, guo
gde, gde
amu, amu
ngu, ngu
zpg, zpg
ghs, ghs
gkp, gkp
gu, guj
gnn, gnn
guw, guw
gup, gup
dah, dah
gwi, gwi
ztu, ztu
hai, hai
has, has
ht, hat
cnh, cnh
hak, hak
khk, khk
hla, hla
hur, hur
hur-x-cow, hur
hur-x-upr, hur
hmt, hmt
hag, hag
wos, wos
hni, hni
hnn, hnn
har, har
ha, hau
haw, haw
hwc, hwc
hvn, hvn
hay, hay
haz, haz
xed, xed
he, heb
he-Latn, heb
heh, heh
heg, heg
hz, her
ghc, ghc
chd, chd
poi, poi
azz, azz
hil, hil
mrj, mrj
hi, hin
hi-Latn, hin
ho, hmo
hix, hix
hmn, hmn
hnj, hnj
blu, blu
hoc-Latn-x-survey, hoc
hoc-Latn-x-ramswami, hoc
hop, hop
hot, hot
qub, qub
qvh, qvh
hub, hub
var, var
hus, hus
nai-x-huave, nai
qwh, qwh
qvw, qvw
tee, tee
hch, hch
tzu, tzu
hui, hui
hu, hun
hup, hup
haa, haa
yml, yml
ian, ian
ibl, ibl
iba, iba
ibg, ibg
ibb, ibb
is, isl
io, ido
viv, viv
igl, igl
ig, ibo
ign, ign
ikk, ikk
ikw, ikw
ili, ili
mbi, mbi
ilo, ilo
qvi, qvi
imo, imo
abx, abx
akl, akl
smn, smn
id, ind
inb, inb
izh, izh
inh, inh
ino, ino
ia, ina
ie, ile
iu, iku
iu-Latn, iku
ik, ipk
ipi, ipi
pes, pes
irk, irk
iry, iry
ga, gle
ga-Latg, gle
ga-x-slais, gle
its, its
srl, srl
icr, icr
iso, iso
mir, mir
zai, zai
nhx, nhx
ist, ist
it, ita
itv, itv
itl, itl
ium, ium
ivv, ivv
atg, atg
ibd, ibd
kbm, kbm
mzi, mzi
ixl, ixl
cnm, cnm
nca, nca
crq, crq
fiz, fiz
izr, izr
jac, jac
maj, maj
jam, jam
jaa, jaa
jax, jax
mxt, mxt
ja, jpn
ja-Latn, jpn
jpx, jpx
jqr, jqr
qxw, qxw
jv, jav
kac, kac
eja, eja
dyo, dyo
csk, csk
quj, quj
jbu, jbu
dyu, dyu
inj, inj
mxq, mxq
bex, bex
jut, jut
fr-x-jer, fra
urb, urb
kbd, kbd
kbp, kbp
kea, kea
kab, kab
kfr-Gujr, kfr
kbc, kbc
kbr, kbr
cgc, cgc
kki, kki
kgp, kgp
kgk, kgk
kqf, kqf
kkj, kkj
mwp, mwp
kl, kal
kmh, kmh
kck, kck
kln, kln
xal, xal
bco, bco
kbq, kbq
kms, kms
kyk, kyk
kam, kam
kld, kld
xla, xla
hig, hig
soq, soq
kqw, kqw
gam, gam
kmu, kmu
kne, kne
kn, kan
kn-Latn, kan
ksk, ksk
kr, kau
kqn, kqn
kpg, kpg
leu, leu
krc, krc
kdr, kdr
kpj, kpj
kaa, kaa
kaa-Cyrl, kaa
mjw, mjw
krl, krl
yuj, yuj
rwo-x-karo, rwo
kyh, kyh
xsm, xsm
ks, kas
csb, csb
kkz, kkz
pss, pss
ckv, ckv
jqr-x-cau, jqr
kyz, kyz
txu, txu
kk, kaz
kk-Latn, kaz
khz, khz
bmh, bmh
kek, kek
kel, kel
kzi, kzi
ify, ify
kyq, kyq
ken, ken
kyg, kyg
kjh, kjh
ogo, ogo
kca, kca
kha, kha
km, khm
kmz-Arab, kmz
kmz, kmz
khw, khw
cnk, cnk
nyf, nyf
sjd, sjd
kmb, kmb
kqp, kqp
mer, mer
krj, krj
rw, kin
pkb, pkb
sgc, sgc
geb, geb
ky, kir
ky-Latn, kir
gil, gil
kje, kje
kiz, kiz
thk, thk
ktu, ktu
li-x-kleve, lim
kyo, kyo
kib, kib
kpw, kpw
kog, kog
trp, trp
bkm, bkm
kpf, kpf
xbi, xbi
xbi-x-wamp, xbi
xbi-x-yani, xbi
kge, kge
kv, kom
koi, koi
kpv, kpv
kg, kon
kok-Knda, kok
kok-Latn, kok
inc-x-konkani, inc
kok, kok
xon, xon
kma, kma
kno, kno
koo, koo
kng, kng
ozm, ozm
kpr, kpr
ko, kor
coe, coe
bpr, bpr
kpy, kpy
kze, kze
kos, kos
eko, eko
kyf, kyf
kpe, kpe
jct-Latn, jct
kri, kri
rop, rop
ksd, ksd
kgf, kgf
kez, kez
kex, kex
gvn, gvn
cul, cul
uun, uun
kue, kue
kum, kum
kup, kup
kto, kto
mkn, mkn
knk, knk
ku, kur
ku-Arab, kur
ku-Cyrl, kur
kus, kus
kut, kut
kub, kub
blh, blh
cwt, cwt
fkv, fkv
kwk, kwk
tnk, tnk
kwj, kwj
kwn, kwn
knp, knp
kj, kua
kwf, kwf
cwe, cwe
kmo, kmo
kyc, kyc
kmg, kmg
ksh, ksh
quc, quc
ldi, ldi
lbb, lbb
lac, lac
zpa, zpa
zpl, zpl
lld, lld
lld-x-bad, lld
lld-x-fas, lld
lld-x-gar, lld
lad, lad
lah, lah
lhu, lhu
lbe, lbe
lki, lki
lkt, lkt
cnl, cnl
las, las
lam, lam
quf, quf
lns, lns
ljp, ljp
lag, lag
lnc, lnc
lo, lao
lsi, lsi
ltg, ltg
la, lat
lv, lav
lzz, lzz
lzz-Geor, lzz
cle, cle
lef, lef
leh, leh
lez, lez
mhx, mhx
xon-x-liko, xon
xon-x-likp, xon
kxx, kxx
lil, lil
lil-x-fou, lil
lil-x-mou, lil
lia, lia
lif, lif
lif-Limb, lif
li, lim
li-x-mich, lim
li-x-trans, lim
lms, lms
ln, lin
lis-Lisu, lis
lzh, lzh
lt, lit
liv, liv
src, src
jbo, jbo
loa, loa
lmo, lmo
ngl, ngl
lnu, lnu
uvl, uvl
lou, lou
nds, nds
sli, sli
dsb, dsb
loz, loz
lex, lex
lua, lua
lu, lub
kcc, kcc
lch, lch
lg, lug
lgg, lgg
ruf, ruf
dop, dop
smj, smj
lup, lup
luj, luj
lun, lun
lut, lut
lue, lue
lwo, lwo
lb, ltz
lee, lee
mas, mas
mfz, mfz
mk, mkd
mk-Latn, mkd
rmn-MK, rmn
jmc, jmc
mcb, mcb
myy, myy
mbc, mbc
mda, mda
mmx, mmx
mad, mad
maf, maf
sgb, sgb
mag, mag
xtm, xtm
mzz, mzz
vmf, vmf
mai, mai
mti, mti
mca, mca
mak-Latn, mak
vmw, vmw
mgh, mgh
kde, kde
mg, mlg
swk, swk
ms, msa
ms-Arab, mly
ms-Thai, msa
ml, mal
mbp, mbp
dv, div
tcf, tcf
mt, mlt
mam, mam
mmn, mmn
myk, myk
mqj, mqj
mgr, mgr
maw, maw
mva, mva
mnc, mnc
cmn, cmn
cmn-Latn, cmn
cmn-Hant, cmn
man, man
mnk, mnk
mem, mem
mrv, mrv
mmo, mmo
mbh, mbh
mnx, mnx
msk, msk
msw, msw
gv, glv
swb, swb
mi, mri
mlh, mlh
bzh, bzh
arn, arn
mec, mec
mrh, mrh
mrw, mrw
mr, mar
mpg, mpg
qvm, qvm
chm, chm
dad, dad
enb, enb
mh, mah
mpj, mpj
mho, mho
klv, klv
mfh, mfh
mbt, mbt
mcf, mcf
hlt, hlt
mph, mph
mhl, mhl
mbl, mbl
yan, yan
mfy, mfy
ifu, ifu
oto-x-mazahua, oto
mzn, mzn
mau, mau
omq-x-mazatec, omq
mzl, mzl
mhy, mhy
mhi, mhi
myb, myb
mqb, mqb
mhw, mhw
mna, mna
mck, mck
gun, gun
mhr, mhr
byv, byv
ruq, ruq
mek, mek
med, med
men, men
sim, sim
mee, mee
mez, mez
mwv, mwv
meq, meq
apm, apm
mxv, mxv
mej, mej
ote, ote
zam, zam
mia, mia
mpt, mpt
crg, crg
ncl, ncl
mic, mic
dum, dum
enm, enm
mpp, mpp
mik, mik
cdo, cdo
nan, nan
czo, czo
hna, hna
min, min
mvn, mvn
drc, drc
xmf, xmf
hto, hto
kmh-x-mini, kmh
mwl, mwl
mep, mep
mpx, mpx
zaw, zaw
cai-x-mixe, cai
omq-x-mixtec, omq
zpm, zpm
soy, soy
lus, lus
mfq, mfq
mfq-x-lok, mfq
old, old
moc, moc
kw-x-mod, cor
mif, mif
moh, moh
mkl, mkl
mdf, mdf
mo, ron
mox, mox
lol, lol
mn, mon
mn-Latn, mon
mn-Mong, mon
mog, mog
moe, moe
sr-ME, srp
sr-Latn-ME, srp
crm, crm
mop, mop
nhm, nhm
mfe, mfe
ary-Latn, ary
mgd, mgd
mtj, mtj
meu, meu
kpx, kpx
mxi, mxi
aoj, aoj
bmr, bmr
mzm, mzm
mnb, mnb
mua, mua
mnf, mnf
myu, myu
mur, mur
mwf, mwf
huu, huu
mus, mus
ttt, ttt
emi, emi
tuc, tuc
tuc-x-oov, tuc
tuc-x-tuam, tuc
myw, myw
sur, sur
moa, moa
wmw, wmw
mlv, mlv
my, mya
miq, miq
mos, mos
mwq, mwq
muh, muh
nas, nas
naf, naf
mbj, mbj
nfr, nfr
nak, nak
nlc, nlc
nss, nss
naq, naq
nvm, nvm
gld, gld
nnb, nnb
cox, cox
qvo, qvo
nap, nap
npy, npy
nhr, nhr
nsk, nsk
na, nau
nv, nav
ndh, ndh
ndc, ndc
nr, nbl
nd, nde
ndz, ndz
ng, ndo
ixi, ixi
neg, neg
nsn, nsn
nif, nif
yrk, yrk
nen, nen
aii, aii
new, new
ne, nep
npi, npi
ne-Latn, nep
nez, nez
nij, nij
szb, szb
sba, sba
gng, gng
cnw, cnw
nge, nge
nbq, nbq
nnh, nnh
gym, gym
yrl, yrl
nia, nia
mzk, mzk
fuv, fuv
pcm, pcm
nii, nii
nim, nim
gur-x-nink, gur
nin, nin
ncg, ncg
noo-x-nitinaht, noo
niu, niu
nko, nko
gaw, gaw
nog, nog
lem, lem
not, not
nhu, nhu
cya, cya
fr-x-nor, fra
nrn, nrn
esi, esi
azj-Cyrl, azj
azj, azj
qul, qul
qvn, qvn
mrq, mrq
ayp, ayp
max, max
scs, scs
scs-Cans, scs
tbg, tbg
tnn, tnn
dip, dip
tts, tts
atv, atv
qxn, qxn
dgi, dgi
crl, crl
emp, emp
frr, frr
frr-x-moo, frr
frr-x-fer, frr
gbo, gbo
hdn, hdn
kxm, kxm
kmr, kmr
kmr-Cyrl, kmr
lrc, lrc
nhy, nhy
cst, cst
pao, pao
qvz, qvz
ncj, ncj
hea, hea
nso, nso
se, sme
ntp, ntp
nod, nod
xtn, xtn
uzn, uzn
uzn-Latn, uzn
ykg, ykg
kiu, kiu
ccx, ccx
esk, esk
ojb-Cans, ojb
no, nor
nb, nob
nn, nno
nov, nov
bud, bud
nus, nus
yas, yas
klt, klt
nop, nop
nuy, nuy
noo, noo
noo-x-barkley, noo
noo-x-eha-nuc, noo
noo-x-she, noo
nyy, nyy
nly, nly
mwn, mwn
nym, nym
nyk, nyk
nna, nna
ny-x-nya, nya
nyn, nyn
rim, rim
nba, nba
lid, lid
nyo, nyo
nys, nys
nyu, nyu
nzi, nzi
nah, nah
hux, hux
obo, obo
ann, ann
oc, oci
mie, mie
zac, zac
kkc, kkc
oj, oji
oj-Cans, oji
chj, chj
oka, oka
opm, opm
cu, chu
oge, oge
oge-x-khutsuri, oge
goh, goh
non, non
osx, osx
ong, ong
luy, luy
nyd, nyd
oma, oma
ons, ons
ore, ore
or, ori
ory, ory
okv, okv
ork, ork
om, orm
ury, ury
os, oss
oto, oto
lot, lot
stn, stn
zao, zao
chz, chz
pma, pma
sig, sig
pri, pri
pwn, pwn
pav, pav
cpa, cpa
pau, pau
pi, pli
pi-Cyrl, pli
pi-Gujr, pli
pi-Knda, pli
pi-Latn, pli
pi-Mlym, pli
pi-Mymr, pli
pi-Sinh, pli
pi-Taml, pli
pi-Telu, pli
pi-Thai, pli
plu, plu
bcx, bcx
pmf, pmf
pam, pam
att, att
qxh, qxh
pag, pag
slm, slm
pa, pan
top, top
pap-CW, pap
pap, pap
gug, gug
agp, agp
prf, prf
pab, pab
pbi, pbi
ps-Latn, pst
pbc, pbc
ptp, ptp
tot, tot
gfk, gfk
pad, pad
paw, paw
ata, ata
pqw-x-penan, pqw
pdc, pdc
fa, fas
fa-Latn, fas
mil, mil
pfl, pfl
pem, pem
pio, pio
pcd, pcd
pms, pms
pis, pis
plg, plg
mio, mio
piu, piu
ppl, ppl
pir, pir
tpp, tpp
pih, pih
pjt, pjt
crk, crk
crk-Latn, crk
ktj, ktj
plt, plt
pdt, pdt
poy, poy
pon, pon
pl, pol
el-polyton, ell
pnt, pnt
poh, poh
pt, por
pt-AO, por
pt-CV, por
pt-GW, por
pt-MZ, por
pt-PT, por
pt-ST, por
pt-TL, por
pot, pot
pim, pim
crn-x-presidio, crn
pgl-Ogam, pgl
prv, prv
prg, prg
fuc, fuc
fuf, fuf
puu, puu
iar, iar
tsz, tsz
ps, pus
pww, pww
pbb, pbb
pko, pko
byx, byx
qu, que
otq, otq
ztq, ztq
chq, chq
kjb, kjb
acr-x-rabinal, acr
raj, raj
rai, rai
rao, rao
rap, rap
rar, rar
rwo, rwo
rwo-x-rawa, rwo
raw, raw
rej-Latn, rej
rkb, rkb
bto, bto
zar, zar
rgn, rgn
rom, rom
ro, ron
rm, roh
rom-Cyrl, rom
roo, roo
rtm, rtm
rug, rug
rn, run
drg, drg
bxr, bxr
ru, rus
ru-Latn, rus
rue, rue
rut, rut
rnd, rnd
rcf, rcf
spy, spy
apz, apz
acf, acf
skg, skg
slr, slr
sbe, sbe
sdz, sdz
sll, sll
ssx, ssx
sm, smo
sgs, sgs
tzs, tzs
cuk, cuk
maa, maa
poe, poe
mjc, mjc
ixl-x-ixl, ixl
zab, zab
hva, hva
pps, pps
pls, pls
trq, trq
qvs, qvs
huv, huv
mig, mig
azg, azg
zpf, zpf
kwy, kwy
cac-x-cac, cac
zpt, zpt
sxn, sxn
sg, sag
sny, sny
sa, san
mdv, mdv
zpi, zpi
mza, mza
cki, cki
cok, cok
sat-Deva, sat
sat, sat
qus, qus
zas, zas
sps, sps
mwm, mwm
srm, srm
bps, bps
mbs, mbs
zlm, zlm
sc, srd
sas, sas
sdc, sdc
stq, stq
mav, mav
saz, saz
swn, swn
sco, sco
sco-x-scotland, sco
gd, gla
gul, gul
sec, sec
sey, sey
ssg, ssg
sek, sek
spl, spl
seh, seh
iws, iws
skr, skr
sr, srp
sr-Latn, srp
hbs, hbs
hbs-Cyrl, hbs
srr, srr
sei, sei
ojs, ojs
crs, crs
shn, shn
mcd, mcd
xsr, xsr
shk, shk
shp, shp
sn, sna
cjs, cjs
shh, shh
jiv, jiv
shs, shs
snp, snp
snp-x-lambau, snp
ii, iii
scn, scn
sid, sid
erg, erg
nsu, nsu
zaa, zaa
mks, mks
szl, szl
szl-x-phonetic, szl
szl-x-slabikorz, szl
szl-x-steuer, szl
sml, sml
snc, snc
sd, snd
sd-Deva, snd
si, sin
xti, xti
rmo, rmo
xsi, xsi
snn, snn
sri, sri
srq, srq
ssd, ssd
sld, sld
csy, csy
sms, sms
den, den
den-Cans, den
sk, slk
sl, slv
cso, cso
xog, xog
sby, sby
so, som
bmu, bmu
sop, sop
son, son
snk, snk
srb, srb
wen, wen
azb, azb
azb-Arab, azb
quh, quh
fal, fal
mqm, mqm
sma, sma
omw, omw
hsf, hsf
npl, npl
nhs, nhs
stp, stp
alt, alt
biv, biv
bwq, bwq
caf, caf
qxo, qxo
crj, crj
sdh, sdh
mms, mms
nab, nab
nnw, nnw
qup, qup
mit, mit
hms, hms
zsr, zsr
sbd, sbd
st, sot
tce, tce
yux, yux
tvk, tvk
mdo, mdo
nwi, nwi
dik, dik
meh, meh
es, spa
es-AR, spa
es-BO, spa
es-CL, spa
es-CO, spa
es-CR, spa
es-CU, spa
es-EC, spa
es-SV, spa
es-GT, spa
es-HN, spa
es-419, spa
es-MX, spa
es-NI, spa
es-PA, spa
es-PY, spa
es-PE, spa
es-PR, spa
es-ES, spa
es-UY, spa
es-VE, spa
squ, squ
srn, srn
arb, arb
ekk, ekk
lvs, lvs
zsm, zsm
stl, stl
sto, sto
sto-x-alexis, sto
sto-x-morley, sto
str, str
swp, swp
sxb, sxb
suh, suh
sue, sue
suk, suk
sua, sua
sum, sum
su, sun
suz, suz
spp, spp
sgz, sgz
sus, sus
sva-Geor, sva
swg, swg
sw, swa
swh, swh
sw-Arab, swa
csw, csw
csw-Latn, csw
ss, ssw
sv, swe
gsw, gsw
syl-Beng, syl
syl, syl
syr, syr
syc, syc
cri, cri
ksw, ksw
zat, zat
lij, lij
tby, tby
chf, chf
tab, tab
knv, knv
knv-x-ara, knv
knv-x-fly, knv
tna, tna
shi-Latn, shi
shi-Tfng, shi
bgs, bgs
tl, tgl
tl-Tglg, tgl
tgx, tgx
ty, tah
taw, taw
tbg-x-arau, tbg
tg, tgk
tbc, tbc
tke, tke
tly, tly
tmh, tmh
taq, taq
tzm, tzm
ta, tam
tpm, tpm
tdx, tdx
tgg, tgg
nmf, nmf
tgp, tgp
tnc, tnc
scn-x-tara, scn
rif-Latn, rif
rif-Tfng, rif
cta, cta
tt, tat
tav, tav
tpa, tpa
tsg, tsg
tbo, tbo
tbl, tbl
ctd, ctd
ttc, ttc
tlf, tlf
te, tel
quw, quw
otn, otn
vkt, vkt
pah, pah
azc-x-tepehuan, azc
cnt, cnt
cux, cux
tfr, tfr
twu, twu
ter, ter
teo, teo
tll, tll
nhg, nhg
tet, tet
tdt, tdt
cut, cut
tew, tew
zpz, zpz
mxb, mxb
tcz, tcz
th, tha
tem, tem
thp, thp
bo, bod
bo-Latn, bod
tca, tca
tif, tif
ti, tir
ti-Latn, tir
tig, tig
tik, tik
cti, cti
tim, tim
tpz, tpz
tiv, tiv
tiw, tiw
boz, boz
tpt, tpt
tpl, tpl
mxp, mxp
nuz, nuz
tli, tli
mlu, mlu
tqo, tqo
tob, tob
tlb, tlb
mvj, mvj
ood, ood
toj, toj
tpi, tpi
tkl, tkl
art-x-tokipona, art
jic, jic
toi, toi
toh, toh
toi-ZW, toi
to, ton
ttj, ttj
wed-x-topura, wed
sda, sda
fit, fit
dts, dts
tcs, tcs
als, als
tos, tos
mto, mto
neb, neb
trf, trf
trn, trn
tsd, tsd
kdl, kdl
cas, cas
tsw, tsw
ts, tso
tsc, tsc
tn, tsn
tuo, tuo
tuo-BR, tuo
tuo-CO, tuo
tcy, tcy
iou, iou
tum, tum
sil, sil
lcm, lcm
aeb-Latn, aeb
tpn, tpn
tr, tur
tk, tuk
tk-Cyrl, tuk
tta, tta
ttg, ttg
tyv, tyv
tyv-Latn, tyv
tvl, tvl
ifk, ifk
bov, bov
tue, tue
tw, twi
tzh, tzh
tzo, tzo
tzj, tzj
ubr, ubr
uby, uby
uby-x-fenwick, uby
cpb, cpb
udi, udi
ude, ude
udm, udm
udu, udu
uk, ukr
uk-Latn, ukr
ulc, ulc
sco-ulster, sco
ppk, ppk
gdn, gdn
